loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,validation_loss,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro,validation_precision_weighted,validation_recall_weighted,validation_f1_weighted,validation_runtime,validation_samples_per_second,validation_steps_per_second
0.512,2.383213996887207,0.00014833333333333335,1.0,400,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,400,0.3063805103302002,0.895,0.9050280557282868,0.895,0.8935834504291205,0.9050280557282869,0.895,0.8935834504291204,1.5787,1013.497,31.672,,,,,,,,,,,,,,,,
0.2771,2.3800265789031982,7.425925925925927e-05,2.0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.0,800,0.2665318548679352,0.908125,0.9099871386864561,0.9081250000000001,0.9074410390771004,0.9099871386864561,0.908125,0.9074410390771003,1.4199,1126.839,35.214,,,,,,,,,,,,,,,,
0.2458,1.8528543710708618,1.851851851851852e-07,3.0,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.0,1200,0.26017898321151733,0.914375,0.9165887514479646,0.914375,0.9138964524128663,0.9165887514479646,0.914375,0.9138964524128664,1.2432,1287.038,40.22,,,,,,,,,,,,,,,,
,,,3.0,1200,,,,,,,,,,,,85.9555,223.371,13.961,323363567953920.0,0.34496214548746745,,,,,,,,,,,
,,,3.0,1200,,,,,,,,,,,,,,,,,0.26017898321151733,0.914375,0.9165887514479646,0.914375,0.9138964524128663,0.9165887514479646,0.914375,0.9138964524128664,1.2949,1235.571,38.612
